triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,build_success
T15_p39,8,int8_pc_wo,D1_default_4gb,-1,0.4595,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,int8_pt_wa_ent,D1_default_4gb,-1,0.0035,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T16_p54,8,fp32,D1_default_4gb,-1,0.5359,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,fp16,D1_default_4gb,-1,0.5357,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5344,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,int8_pc_wo,D1_default_4gb,-1,0.5368,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T16_p54,8,int8_pt_wa_ent,D1_default_4gb,-1,0.1296,,plan4_phaseA_phaseCstage1,16,64,128,0.5357142857142857,True
T17_p57,8,fp32,D1_default_4gb,-1,0.5202,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,fp16,D1_default_4gb,-1,0.5199,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5196,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,int8_pc_wo,D1_default_4gb,-1,0.5185,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T17_p57,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4906,,plan4_phaseA_phaseCstage1,32,32,128,0.5714285714285714,True
T18_p64,8,fp32,D1_default_4gb,-1,0.4917,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,fp16,D1_default_4gb,-1,0.4923,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,int8_pt_wa_mm,D1_default_4gb,-1,0.4868,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,int8_pc_wo,D1_default_4gb,-1,0.4958,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T18_p64,8,int8_pt_wa_ent,D1_default_4gb,-1,0.001,,plan4_phaseA_phaseCstage1,16,16,128,0.6428571428571428,True
T19_p71,8,fp32,D1_default_4gb,-1,0.5235,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,fp16,D1_default_4gb,-1,0.5237,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5157,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,int8_pc_wo,D1_default_4gb,-1,0.5145,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T19_p71,8,int8_pt_wa_ent,D1_default_4gb,-1,0.449,,plan4_phaseA_phaseCstage1,32,32,64,0.7142857142857143,True
T20_p79,8,fp32,D1_default_4gb,-1,0.5508,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,fp16,D1_default_4gb,-1,0.5506,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5495,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,int8_pc_wo,D1_default_4gb,-1,0.551,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T20_p79,8,int8_pt_wa_ent,D1_default_4gb,-1,0.0461,,plan4_phaseA_phaseCstage1,16,16,64,0.7857142857142857,True
T21_p82,8,fp32,D1_default_4gb,-1,0.5085,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,fp16,D1_default_4gb,-1,0.5089,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5143,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,int8_pc_wo,D1_default_4gb,-1,0.5103,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T21_p82,8,int8_pt_wa_ent,D1_default_4gb,-1,0.2808,,plan4_phaseA_phaseCstage1,16,32,32,0.8214285714285714,True
T22_p89,8,fp32,D1_default_4gb,-1,0.5431,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,fp16,D1_default_4gb,-1,0.5415,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5433,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,int8_pc_wo,D1_default_4gb,-1,0.5428,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T22_p89,8,int8_pt_wa_ent,D1_default_4gb,-1,0.2402,,plan4_phaseA_phaseCstage1,16,16,16,0.8928571428571429,True
T_g8_p87,8,fp32,D1_default_4gb,-1,0.5696,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p87,8,fp16,D1_default_4gb,-1,0.5696,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5694,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pc_wo,D1_default_4gb,-1,0.5696,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pt_wa_ent,D1_default_4gb,-1,0.5221,,plan4_phaseA_phaseCstage1,8,8,8,0.9464285714285714,True
T_g8_p93,8,fp32,D1_default_4gb,-1,0.5622,,plan4_phaseA_phaseCstage1,8,4,4,0.9642857142857143,True
T_g8_p93,8,fp16,D1_default_4gb,-1,0.5622,,plan4_phaseA_phaseCstage1,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5603,,plan4_phaseA_phaseCstage1,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pc_wo,D1_default_4gb,-1,0.5617,,plan4_phaseA_phaseCstage1,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pt_wa_ent,D1_default_4gb,-1,0.5037,,plan4_phaseA_phaseCstage1,8,4,4,0.9642857142857143,True
T_g8_p97,8,fp32,D1_default_4gb,-1,0.5063,,plan4_phaseA_phaseCstage1,4,4,4,0.9732142857142857,True
T_g8_p97,8,fp16,D1_default_4gb,-1,0.5065,,plan4_phaseA_phaseCstage1,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pt_wa_mm,D1_default_4gb,-1,0.51,,plan4_phaseA_phaseCstage1,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pc_wo,D1_default_4gb,-1,0.5124,,plan4_phaseA_phaseCstage1,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4704,,plan4_phaseA_phaseCstage1,4,4,4,0.9732142857142857,True
T1_base,8,mix_s1,D1_default_4gb,-1,0.5483,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,mix_s01,D1_default_4gb,-1,0.5467,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,mix_s02,D1_default_4gb,-1,0.5476,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T1_base,8,mix_s12,D1_default_4gb,-1,0.5484,,plan4_phaseA_phaseCstage1,64,128,256,0.0,True
T2_p25,8,mix_s1,D1_default_4gb,-1,0.5423,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,mix_s01,D1_default_4gb,-1,0.5395,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,mix_s02,D1_default_4gb,-1,0.5426,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T2_p25,8,mix_s12,D1_default_4gb,-1,0.5426,,plan4_phaseA_phaseCstage1,48,96,192,0.25,True
T3_p37,8,mix_s1,D1_default_4gb,-1,0.5274,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,mix_s01,D1_default_4gb,-1,0.5248,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,mix_s02,D1_default_4gb,-1,0.5259,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T3_p37,8,mix_s12,D1_default_4gb,-1,0.5274,,plan4_phaseA_phaseCstage1,40,80,160,0.375,True
T4_p50,8,mix_s1,D1_default_4gb,-1,0.5322,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,mix_s01,D1_default_4gb,-1,0.5288,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,mix_s02,D1_default_4gb,-1,0.5265,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T4_p50,8,mix_s12,D1_default_4gb,-1,0.5335,,plan4_phaseA_phaseCstage1,32,64,128,0.5,True
T5_p62,8,mix_s1,D1_default_4gb,-1,0.5276,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,mix_s01,D1_default_4gb,-1,0.5005,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,mix_s02,D1_default_4gb,-1,0.5002,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T5_p62,8,mix_s12,D1_default_4gb,-1,0.5283,,plan4_phaseA_phaseCstage1,24,56,128,0.5357142857142857,True
T6_p75,8,mix_s1,D1_default_4gb,-1,0.5583,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,mix_s01,D1_default_4gb,-1,0.5594,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,mix_s02,D1_default_4gb,-1,0.5587,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T6_p75,8,mix_s12,D1_default_4gb,-1,0.5586,,plan4_phaseA_phaseCstage1,16,32,64,0.75,True
T7_wide_shallow,8,mix_s1,D1_default_4gb,-1,0.5037,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,mix_s01,D1_default_4gb,-1,0.4963,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,mix_s02,D1_default_4gb,-1,0.4962,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T7_wide_shallow,8,mix_s12,D1_default_4gb,-1,0.5029,,plan4_phaseA_phaseCstage1,48,64,128,0.4642857142857143,True
T8_narrow_deep,8,mix_s1,D1_default_4gb,-1,0.5435,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,mix_s01,D1_default_4gb,-1,0.5455,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,mix_s02,D1_default_4gb,-1,0.5444,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T8_narrow_deep,8,mix_s12,D1_default_4gb,-1,0.5438,,plan4_phaseA_phaseCstage1,24,48,192,0.4107142857142857,True
T10_p11,8,mix_s1,D1_default_4gb,-1,0.5143,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,mix_s01,D1_default_4gb,-1,0.5171,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,mix_s02,D1_default_4gb,-1,0.5175,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T10_p11,8,mix_s12,D1_default_4gb,-1,0.514,,plan4_phaseA_phaseCstage1,16,128,256,0.1071428571428571,True
T11_p14,8,mix_s1,D1_default_4gb,-1,0.5086,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,mix_s01,D1_default_4gb,-1,0.5036,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,mix_s02,D1_default_4gb,-1,0.5035,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,mix_s12,D1_default_4gb,-1,0.5081,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T12_p21,8,mix_s1,D1_default_4gb,-1,0.5141,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,mix_s01,D1_default_4gb,-1,0.5144,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,mix_s02,D1_default_4gb,-1,0.5152,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
