row_id,run_id,config_id,model,candidate_id,schedule_policy,latency_p50_ms,latency_min_ms,latency_max_ms,quality_flag,claim_status,reasons
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_c_fp16_default:h800_tvm:calib_h800_tvm_pyramid_mix_c_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_mix_c_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_mix_c_fp16_default,pyramid_lidar,calibration:pyramid_lidar:mix_c,default,30.730201,30.730082,30.730775,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_c_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_mix_c_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_mix_c_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_mix_c_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:mix_c,metaschedule_tuned,5.103264,5.103004,5.103312,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_d_fp16_default:h800_tvm:calib_h800_tvm_pyramid_mix_d_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_mix_d_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_mix_d_fp16_default,pyramid_lidar,calibration:pyramid_lidar:mix_d,default,42.408594,42.406781,42.433137,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_d_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_mix_d_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_mix_d_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_mix_d_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:mix_d,metaschedule_tuned,21.044262,21.043225,21.045759999999998,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s0_16_fp16_default:h800_tvm:calib_h800_tvm_pyramid_s0_16_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_s0_16_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_s0_16_fp16_default,pyramid_lidar,calibration:pyramid_lidar:s0_16,default,39.468211000000004,39.449484,39.499457,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s0_16_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_s0_16_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_s0_16_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_s0_16_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:s0_16,metaschedule_tuned,6.897531,5.854512,9.404179000000001,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s0_32_fp16_default:h800_tvm:calib_h800_tvm_pyramid_s0_32_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_s0_32_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_s0_32_fp16_default,pyramid_lidar,calibration:pyramid_lidar:s0_32,default,44.633815999999996,44.630652000000005,44.65284,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s0_32_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_s0_32_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_s0_32_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_s0_32_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:s0_32,metaschedule_tuned,5.967949,5.967661,5.974283000000001,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s1_32_fp16_default:h800_tvm:calib_h800_tvm_pyramid_s1_32_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_s1_32_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_s1_32_fp16_default,pyramid_lidar,calibration:pyramid_lidar:s1_32,default,41.886586,41.871824000000004,41.888078,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s1_32_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_s1_32_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_s1_32_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_s1_32_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:s1_32,metaschedule_tuned,3.761232,3.758691,3.7615149999999997,stable,claimable,
