tau,route,rep,status,ds,rc,pen,colped,colveh,collay,vblock
200,11,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,16,1,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
200,16,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,16,3,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
200,17,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,17,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,24,1,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
200,24,2,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
200,24,3,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
200,302,1,Completed,50.0,100.0,0.5,0.12053933292791054,0.0,0.0,0.0
200,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,307,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,307,2,Completed,50.0,100.0,0.5,0.12053933626844889,0.0,0.0,0.0
200,307,3,Completed,50.0,100.0,0.5,0.12053933626844889,0.0,0.0,0.0
200,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,310,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,310,3,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
200,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,325,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,325,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,326,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,326,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
200,326,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,0,2,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
300,0,3,Completed,25.0,100.0,0.25,0.28284271247461895,0.0,0.0,0.0
300,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,7,1,Completed,25.0,100.0,0.25,0.28284271247461895,0.0,0.0,0.0
300,7,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,7,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,11,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,16,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,16,2,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
300,16,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,17,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,17,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
