config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
a7_v2_univ2x_full_0037,univ2x_full,a7_v2_univ2x_full_pareto,False,454.95000000000005,0.3424733272100298,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
a7_v2_univ2x_full_0038,univ2x_full,a7_v2_univ2x_full_pareto,False,487.35,0.34539220066547904,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
a7_v2_univ2x_full_0039,univ2x_full,a7_v2_univ2x_full_pareto,False,503.55,0.35217267716025125,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0040,univ2x_full,a7_v2_univ2x_full_pareto,False,515.7,0.33651106288409427,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0041,univ2x_full,a7_v2_univ2x_full_pareto,False,459.0,0.3408145524898746,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
a7_v2_univ2x_full_0042,univ2x_full,a7_v2_univ2x_full_pareto,False,499.5,0.33755695584353784,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
a7_v2_univ2x_full_0043,univ2x_full,a7_v2_univ2x_full_pareto,False,499.5,0.3375133313327049,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0044,univ2x_full,a7_v2_univ2x_full_pareto,False,499.5,0.33355037408679944,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0045,univ2x_full,a7_v2_univ2x_full_pareto,False,499.5,0.3218462305202655,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU
a7_v2_univ2x_full_0046,univ2x_full,a7_v2_univ2x_full_pareto,False,459.0,0.33888974330001176,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
a7_v2_univ2x_full_0047,univ2x_full,a7_v2_univ2x_full_pareto,False,471.15,0.3462338282143048,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU
a7_v2_univ2x_full_0048,univ2x_full,a7_v2_univ2x_full_pareto,False,471.15,0.3410627527733364,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0049,univ2x_full,a7_v2_univ2x_full_pareto,False,487.35,0.33678141439835285,none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
