config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_v3_pyramid_0036,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.8,0.9560923288884312,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0037,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.8,0.957710609858091,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU
m4_7_v3_pyramid_0038,pyramid_fusion,m4_7_v3_pyramid_pareto,False,30.099999999999998,0.9623123215460337,none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0039,pyramid_fusion,m4_7_v3_pyramid_pareto,True,21.0625,0.7450007449987615,channel,0.7,L1,INT8,per-tensor,W+A,GPU,0.625,L1,INT8,per-tensor,W+A,GPU,0.55,L1,FP32,none,none,GPU,0.5,L1,INT8,per-tensor,W-only,GPU,0.25,L1,INT8,per-channel,W-only,GPU
m4_7_v3_pyramid_0040,pyramid_fusion,m4_7_v3_pyramid_pareto,False,21.8125,0.6450410662507648,channel,0.75,FPGM,FP32,none,none,GPU,0.8,L1,INT8,per-channel,W+A,GPU,0.75,L1,FP16,per-tensor,W+A,GPU,0.7,L1,FP16,per-tensor,W-only,GPU,0.75,L1,FP16,per-tensor,W-only,GPU
m4_7_v3_pyramid_0041,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.8,0.957228396824221,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_v3_pyramid_0042,pyramid_fusion,m4_7_v3_pyramid_pareto,False,26.299999999999997,0.9594536085315144,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0043,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.9,0.9621144304617333,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0044,pyramid_fusion,m4_7_v3_pyramid_pareto,True,31.400000000000002,0.96322282977257,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0045,pyramid_fusion,m4_7_v3_pyramid_pareto,False,30.099999999999998,0.9587694382162432,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0046,pyramid_fusion,m4_7_v3_pyramid_pareto,False,26.400000000000002,0.9597528685660593,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
m4_7_v3_pyramid_0047,pyramid_fusion,m4_7_v3_pyramid_pareto,False,30.099999999999998,0.9624457861388112,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_v3_pyramid_0048,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.3,0.959504659658797,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0049,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.8,0.9583852288033095,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
